playcounts,name,fav,introduce,director,step,actor
,欲望迷宫,,简介：不孝子小飞得知自己的父亲从人贩子手中买了一个年轻小老婆，小飞一气之下用毒药害死父亲。立强为找到小女儿抓人贩子想问明女儿的下落，发现女儿已经遇害。大龄未婚男小磊在母亲为他借了巨额彩礼后准备结婚，却意外摊上一场人命，为了自保他选择沉默。,奚志伟,,"奚志磊,韩腾飞,奚立强"
,鬼火,,简介：这是一部因男方拿不出给女方的定亲彩礼钱，想用古瓷器顶替礼金，而勾起了人们心中鬼火的贪念欲望，从而引起了一系列诙谐幽默的电影故事。暗中跟踪、抢夺，当文物还原为高仿的仿制品之后，心中有鬼的两路发财者，都随着美梦的破灭而烟消云散……,胡庚辰,,"张斌,崔龙飞,何玉婷"
,十恶不赦,,简介：“共事会”组织了一场以犯罪和金钱诱惑来进行的密室游戏，输掉游戏的人将因为自己所犯下的过错和罪行受到“共事会”组织的惩罚，赢得人则可以获得大量金钱的奖励，但是游戏没有止境，一直在循环，虽然看上去像是满足组织的一己私欲，玩弄人性。但是实际上背后另有隐情.,杨帅,,"海萍,大崎明,祁楚尭"
,婴灵,,简介：阿峰（崔航饰）经常在午夜睡梦中听到小女孩（贾一诺饰）凄惨的哭声，他请了自己的好朋友-------妇科大夫周兴寿（彭禺厶饰）帮助治疗。在居住的神秘破旧的楼道里，阿峰遇到新搬来的邻居何铮（秦汉擂饰），何铮行踪神秘，似乎在隐瞒着什么。弥漫着腐烂腥臭味的房间、凌乱邋遢的卧室、激烈的争吵、跳楼的邻居女友栀子（刘春鑫饰）、记忆中的女友陌小七（刘冲饰）及各种诡异事件，时时刻刻刺激着阿峰，潜藏在真相背后的恐怖一点点浮出了水面。,耿磊,,"彭禺厶,秦汉擂,崔航,刘冲,贾一诺"
,乱码英雄,,简介：农民工李乱码带着弟弟李乱来和老家朋友罗小飞在城里苦苦讨食吃，原本平静的生活在某天电梯里的一场奇遇后发生了翻天覆地的变化，因为他身上蕴藏着一门武林绝学易筋经，而他已然忘记自己何时得来，而这门武功正是乞丐和秦美苦苦寻求的，为此，乞丐和秦美苦心策划了一场无间道，挑动肖俊藤和李乱码的战斗，这样既得了肖的财产，又得了李的武功，还将二人一网打尽，最后的结果是出人意料的，这些人都是精神病人。,冯毅,,"李沂恒,袁陈丽,翁超伦,苏开宇,胡岳斌"
,绑架2,,简介：一天夜里，梁成和陈楠骗过保安走进某办公室，入室盗窃，在开保险箱的时候，不料警报器响了，被安保人员追捕，慌乱中跑进地下停车场，被迫无奈与几名保安拳头相见，陈楠的身手敏捷，几下便将两名打翻在地，一辆正往出口方向开去的黑色轿车被打斗中的几个人挡住了路，车上下来两个怒气冲冲的年轻人，穿着黑西装，张嘴就要开骂，话未出口，两边楼梯口冲出两拨人，喊着抓贼，紧张时刻，陈楠顾不了那么多，和梁成使了个眼色，将两个年轻人打倒，抢了车，冲出人群……车驶进一个仓库，脱离了险境，突然，后备箱传来一阵动静，二人下车查看.一个被绑架的女孩蜷缩在车的后备箱。,鲁恩滨,,"刘裕龙,赵依娜,赵小七,张伟林"
,股疯2015,,简介：一群痴迷玩股票的股民在各种陷阱，假冒股神代理商的诱惑下，倾家荡产，而后被逼入疯人院。据传疯人院还可以上市，一时乡人欢喜祝贺，而后得知是一假和尚作祟，幸得家人营救成功，本剧正能量励志成才，有情人终成眷属。,刘伟,,"郭环宇,方彧,李洪潇,马也"
,玩的就是心跳,,简介：王军楷（邱昊奇 饰）渴望爱情却一直未寻得真爱，直到遇到了一见钟情的高冷女神武艺樊（张希爱 饰），然而情敌网冬橙（刘晓峰 饰）的出现给原本无进展的两人带来了新的危机，同时王军楷的竞争对手王竹岚（林威 饰）想在马田渝（汤镇业 饰）公司的并购案中取得先机，不惜非法软禁武艺樊， 逼迫王军楷退出。王军楷陷入了事业和感情的双重绝境.....,马雍,,"汤镇业,邱昊奇,张希爱,林威,慕钰华,尹恒,邓杨宁,马良博一,李志希"
,来自星星的女朋友,,简介：企业家皓强忽遭破产，从风云一时的高富帅，化身名副其实的屌丝，绝望之下想跳楼自杀。千钧一发之际，一单纯美艳的短发女孩“从天而降”，并对皓强一见钟情。面对飞来艳福，皓强喜不自禁，将女孩小乐带回了家，从此经历了一系列奇事。皓强偶然得知女友是外星人，后因怀疑女友是外星间谍将女友赶跑……最终明白真相后，皓强追悔莫及，痛不欲生的皓强再次从顶楼跳下，而这一次，小乐还会及时从天而降吗？,陈祖灿,,"秦汉擂,陈乐丞"
,异能未来人,,简介：500年后地球环境非常恶略，魏来仁肩负拯救地球的责任来到500年前呼吁大家保护环境，可是身份无意中暴露，他只好把那些知道他身份的7个现代人送到一幢无人居住的古老别墅那里是未来与现代的交汇处等待飞船送他们去消除记忆，从而继续进行计划。,张亚海,,"唐妤萌,魏峰"
,恋爱父子兵,,简介：郝成功是一位不太成功的男人，失去妻子的他每天按部就班的在俱乐部上班。他的儿子郝希望是对生活没有希望的少年，工作是每天在酒吧里跳街舞。两个人因为一个神秘的盒子产生了灵魂互换。藏在郝成功身体里的郝希望帮父亲追求着俱乐部的美女蓝依，而藏在郝希望身体里的郝成功目睹着儿子的美貌女友诗诗却什么都不能做。,廖卫,,"李泰延,李欣聪,徐文浩,郑梦雪"
